station_id,current_label,override_label (Yes/No),notes
ARM00087121,No,,
ARM00087148,No,,
ARM00087162,No,,
ARM00087166,No,,
ARM00087178,No,,
ARM00087213,No,,
ARM00087222,No,,
ARM00087244,No,,
ARM00087289,No,,
ARM00087311,No,,
ARM00087320,No,,
ARM00087322,No,,
ARM00087328,No,,
ARM00087345,No,,
ARM00087349,No,,
ARM00087395,No,,
ARM00087416,No,,
ARM00087420,No,,
ARM00087436,No,,
ARM00087448,No,,
ARM00087453,No,,
ARM00087467,No,,
ARM00087480,No,,
ARM00087497,No,,
ARM00087506,Yes,,
ARM00087509,No,,
ARM00087532,No,,
ARM00087548,No,,
ARM00087550,No,,
ARM00087563,No,,
ARM00087576,No,,
ARM00087582,No,,
ARM00087593,No,,
ARM00087596,No,,
ARM00087637,No,,
ARM00087640,No,,
ARM00087641,No,,
ARM00087643,No,,
ARM00087645,No,,
ARM00087648,No,,
ARM00087679,No,,
ARM00087688,No,,
ARM00087736,No,,
ARM00087765,No,,
ARM00087774,No,,
ARM00087784,No,,
ARM00087791,No,,
ARM00087800,No,,
ARM00087814,No,,
ARM00087823,No,,
ARM00087852,No,,
ARM00087880,No,,
ARM00087896,No,,
ARM00087903,No,,
ARM00087904,No,,
ARM00087909,No,,
ARM00087934,No,,
ARM00087938,No,,
ASM00094275,No,,
ASM00094299,No,,
ASM00094940,No,,
ASM00094995,No,,
ASM00094997,No,,
ASM00094998,No,,
ASM00095997,No,,
ASN00001000,No,,
ASN00001001,No,,
ASN00001003,No,,
ASN00001004,No,,
ASN00001005,No,,
ASN00001006,No,,
ASN00001007,No,,
ASN00001008,No,,
ASN00001009,No,,
ASN00001010,No,,
ASN00001011,No,,
ASN00001012,No,,
ASN00001013,No,,
ASN00001014,No,,
ASN00001016,No,,
ASN00001017,No,,
ASN00001018,No,,
ASN00001019,No,,
ASN00001020,No,,
ASN00001021,No,,
ASN00001022,No,,
ASN00001023,No,,
ASN00001024,No,,
ASN00001025,No,,
ASN00001026,No,,
ASN00001027,No,,
ASN00001028,No,,
ASN00001030,No,,
ASN00001031,No,,
ASN00001032,No,,
ASN00001035,No,,
ASN00002000,No,,
ASN00002001,No,,
ASN00002002,No,,
ASN00002003,No,,
ASN00002004,No,,
ASN00002005,No,,
ASN00002006,No,,
ASN00002007,No,,
ASN00002008,No,,
ASN00002009,No,,
ASN00002010,No,,
ASN00002011,No,,
ASN00002012,No,,
ASN00002013,No,,
ASN00002014,No,,
ASN00002015,No,,
ASN00002016,No,,
ASN00002017,No,,
ASN00002018,No,,
ASN00002019,No,,
ASN00002020,No,,
ASN00002021,No,,
ASN00002022,No,,
ASN00002023,No,,
ASN00002024,No,,
ASN00002025,No,,
ASN00002026,No,,
ASN00002027,No,,
ASN00002028,No,,
ASN00002029,No,,
ASN00002030,No,,
ASN00002031,No,,
ASN00002032,No,,
ASN00002033,No,,
ASN00002034,No,,
ASN00002035,No,,
ASN00002036,No,,
ASN00002037,No,,
ASN00002038,No,,
ASN00002039,No,,
ASN00002040,No,,
ASN00002041,No,,
ASN00002042,No,,
ASN00002043,No,,
ASN00002044,No,,
ASN00002046,No,,
ASN00002047,No,,
ASN00002048,No,,
ASN00002049,No,,
ASN00002050,No,,
ASN00002051,No,,
ASN00002052,No,,
ASN00002053,No,,
ASN00002055,No,,
ASN00002056,No,,
ASN00002057,No,,
ASN00002058,No,,
ASN00002059,No,,
ASN00002060,No,,
ASN00002061,No,,
ASN00002062,No,,
ASN00002063,No,,
ASN00002064,No,,
ASN00002065,No,,
ASN00002066,No,,
ASN00002067,No,,
ASN00002069,No,,
ASN00002070,No,,
ASN00002071,No,,
ASN00002075,No,,
ASN00003000,No,,
ASN00003001,No,,
ASN00003002,No,,
ASN00003003,No,,
ASN00003004,No,,
ASN00003005,No,,
ASN00003006,No,,
ASN00003007,No,,
ASN00003008,No,,
ASN00003009,No,,
ASN00003010,No,,
ASN00003011,No,,
ASN00003012,No,,
ASN00003013,No,,
ASN00003014,No,,
ASN00003015,No,,
ASN00003016,No,,
ASN00003017,No,,
ASN00003018,No,,
ASN00003019,No,,
ASN00003020,No,,
ASN00003021,No,,
ASN00003022,No,,
ASN00003023,No,,
ASN00003024,No,,
ASN00003025,No,,
ASN00003026,No,,
ASN00003027,No,,
ASN00003028,No,,
ASN00003029,No,,
ASN00003030,No,,
ASN00003031,No,,
ASN00003032,No,,
ASN00003033,No,,
ASN00003035,No,,
ASN00003036,No,,
ASN00003037,No,,
ASN00003039,No,,
ASN00003040,No,,
ASN00003041,No,,
ASN00003042,No,,
ASN00003043,No,,
ASN00003044,No,,
ASN00003045,No,,
ASN00003046,No,,
ASN00003047,No,,
ASN00003048,No,,
ASN00003049,No,,
ASN00003050,No,,
ASN00003051,No,,
ASN00003052,No,,
ASN00003053,No,,
ASN00003054,No,,
ASN00003055,No,,
ASN00003056,No,,
ASN00003057,No,,
ASN00003058,No,,
ASN00003059,No,,
ASN00003060,No,,
ASN00003061,No,,
ASN00003062,No,,
ASN00003063,No,,
ASN00003064,No,,
ASN00003065,No,,
ASN00003066,No,,
ASN00003068,No,,
ASN00003069,No,,
ASN00003072,No,,
ASN00003073,No,,
ASN00003074,No,,
ASN00003075,No,,
ASN00003076,No,,
ASN00003077,No,,
ASN00003078,No,,
ASN00003079,No,,
ASN00003080,No,,
ASN00003081,No,,
ASN00003082,No,,
ASN00003083,No,,
ASN00003084,No,,
ASN00003085,No,,
ASN00003086,No,,
ASN00003087,No,,
ASN00003088,No,,
ASN00003089,No,,
ASN00003090,No,,
ASN00003091,No,,
ASN00003092,No,,
ASN00003093,No,,
ASN00003095,No,,
ASN00003096,No,,
ASN00003098,No,,
ASN00003100,No,,
ASN00003103,No,,
ASN00003104,No,,
ASN00003105,No,,
ASN00004000,No,,
ASN00004001,No,,
ASN00004002,No,,
ASN00004003,No,,
ASN00004004,No,,
ASN00004005,No,,
ASN00004006,No,,
ASN00004007,No,,
ASN00004008,No,,
ASN00004009,No,,
ASN00004010,No,,
ASN00004011,No,,
ASN00004012,No,,
ASN00004013,No,,
ASN00004014,No,,
ASN00004015,No,,
ASN00004016,No,,
ASN00004017,No,,
ASN00004018,No,,
ASN00004019,No,,
ASN00004020,No,,
ASN00004021,No,,
ASN00004022,No,,
ASN00004023,No,,
ASN00004024,No,,
ASN00004025,No,,
ASN00004026,No,,
ASN00004027,No,,
ASN00004028,No,,
ASN00004030,No,,
ASN00004031,No,,
ASN00004032,No,,
ASN00004033,No,,
ASN00004034,No,,
ASN00004035,No,,
ASN00004036,No,,
ASN00004037,No,,
ASN00004038,No,,
ASN00004039,No,,
ASN00004040,No,,
ASN00004041,No,,
ASN00004042,No,,
ASN00004043,No,,
ASN00004044,No,,
ASN00004045,No,,
ASN00004046,No,,
ASN00004047,No,,
ASN00004048,No,,
ASN00004049,No,,
ASN00004050,No,,
ASN00004051,No,,
ASN00004052,No,,
ASN00004053,No,,
ASN00004054,No,,
ASN00004055,No,,
ASN00004056,No,,
ASN00004057,No,,
ASN00004058,No,,
ASN00004059,No,,
ASN00004060,No,,
ASN00004061,No,,
ASN00004062,No,,
ASN00004063,No,,
ASN00004064,No,,
ASN00004065,No,,
ASN00004066,No,,
ASN00004067,No,,
ASN00004068,No,,
ASN00004069,No,,
ASN00004070,No,,
ASN00004071,No,,
ASN00004072,No,,
ASN00004074,No,,
ASN00004076,No,,
ASN00004077,No,,
ASN00004079,No,,
ASN00004080,No,,
ASN00004081,No,,
ASN00004082,No,,
ASN00004083,No,,
ASN00004084,No,,
ASN00004085,No,,
ASN00004086,No,,
ASN00004087,No,,
ASN00004088,No,,
ASN00004089,No,,
ASN00004090,No,,
ASN00004092,No,,
ASN00004093,No,,
ASN00004094,No,,
ASN00004096,No,,
ASN00004097,No,,
ASN00004098,No,,
ASN00004099,No,,
ASN00004101,No,,
ASN00004102,No,,
ASN00004103,No,,
ASN00004104,No,,
ASN00004106,No,,
ASN00005000,No,,
ASN00005001,No,,
ASN00005002,No,,
ASN00005003,No,,
ASN00005004,No,,
ASN00005005,No,,
ASN00005006,No,,
ASN00005007,No,,
ASN00005008,No,,
ASN00005009,No,,
ASN00005010,No,,
ASN00005011,No,,
ASN00005012,No,,
ASN00005013,No,,
ASN00005014,No,,
ASN00005015,No,,
ASN00005016,No,,
ASN00005017,No,,
ASN00005018,No,,
ASN00005019,No,,
ASN00005020,No,,
ASN00005021,No,,
ASN00005022,No,,
ASN00005023,No,,
ASN00005024,No,,
ASN00005025,No,,
ASN00005026,No,,
ASN00005027,No,,
ASN00005028,No,,
ASN00005029,No,,
ASN00005030,No,,
ASN00005031,No,,
ASN00005032,No,,
ASN00005033,No,,
ASN00005034,No,,
ASN00005035,No,,
ASN00005036,No,,
ASN00005037,No,,
ASN00005038,No,,
ASN00005039,No,,
ASN00005040,No,,
ASN00005041,No,,
ASN00005042,No,,
